issns	existing_issn	Q		
2448-7147,1405-7425	1405-7425	15755220
1406-0949,1406-0957	1406-0949	15745323
2334-4385,1406-099X	1406-099X	15758125
1736-7786,1406-2070	1406-2070	12362674
2228-3897,1406-3859	1406-3859	12358496
1736-7409,1406-4243	1406-4243	3742733
1736-8723,1406-9954	1736-8723	12370224
1407-6179,1407-6160	1407-6179	50814393
2255-8756,1407-7337	1407-7337	50515483
2255-8713,1407-7353	2255-8713	50816443
1854-2492,1408-967X	1408-967X	15758291
2215-3373,1409-2433	2215-3373	50816195
2215-2067,1409-3871	1409-3871	13548573
2338-8234,1411-1438	1411-1438	50515823
2407-6899,1411-2272	1411-2272	50515809
2087-7439,1411-2485	1411-2485	50515802
2355-3820,1411-5115	1411-5115	50515782
2541-6111,1411-6510	2541-6111	50817998
2477-5665,1411-8327	1411-8327	50515748
2354-8509,1411-982X	1411-982X	15766360
2460-8319,1412-2596	1412-2596	50516512
2502-5783,1412-9418	1412-9418	50516447
2477-0396,1412-9590	1412-9590	50516441
2179-9911,1413-2109	1413-2109	50516420
2358-4114,1413-9073	1413-9073	15817071
2318-1222,1413-9324	1413-9324	15755018
2358-291X,1414-462X	1414-462X	27725001
1982-7830,1414-7564	1982-7830	50814924
1980-3729,1415-0549	1980-3729	50814866
2318-0897,1415-5796	1415-5796	15766662
1983-7151,1415-6393	1983-7151	15802825
1984-8412,1415-8698	1984-8412	50814982
1662-0879,1421-0185	1421-0185	1467167
1422-2833,1422-2795	1422-2795	15766289
1664-2880,1422-4917	1422-4917	15765171
1424-0556,1422-9528	1422-9528	2404578
1424-7372,1424-7364	1424-7364	27714689
1662-6370,1424-7755	1424-7755	25021966
2300-9802,1425-3305	1425-3305	15758948
1869-6082,1425-6908	1425-6908	15750411
2329-0358,1425-9524	1425-9524	4767873
1898-9934,1426-2630	1898-9934	50814811
2080-6574,1426-8981	2080-6574	50815366
2391-7571,1429-186X	1429-186X	9311450
2083-4535,1429-7426	2083-4535	50815353
1432-1165,1430-483X	1430-483X	22949155
2366-2638,1430-6387	1430-6387	15724629
1868-9418,1431-5041	1431-5041	15767339
1432-1068,1633-8065	1633-8065	27723812
1439-054X,1432-9123	1432-9123	2300658
1433-0369,1432-9360	1432-9360	27720782
1434-3940,1432-9417	1432-9417	27714276
1433-2787,1433-2779	1433-2787	15762441
1614-7456,1433-5298	1433-5298	15751189
1439-9229,1433-6251	1433-6251	15724306
2196-1646,1433-6359	1433-6359	1404493
2197-4578,1433-7266	1433-7266	186699
1861-387X,1433-7398	1433-7398	26842323
1433-8351,2367-3613	1433-8351	26288
1435-1102,1434-1816	1434-1816	15753703
1613-7612,1434-1832	1434-1832	15757327
1619-4292,1434-4653	1434-4653	23418562
1434-565X,1434-5641	1434-5641	15760843
1434-601X,1434-6001	1434-601X	2471672
1860-0743,1435-1935	1860-0743	15755646
2198-2775,1436-3011	1436-3011	1564184
1868-8888,1436-3038	1436-3038	635645
1436-3305,1436-3291	1436-3291	15724608
1439-0280,1436-5693	1436-5693	15762378
1437-1588,1436-9990	1436-9990	1006114
2199-5052,1437-2355	1437-2355	1792336
2366-7796,1437-7160	1437-7160	15756231
1613-3560,1438-3276	1438-3276	1881631
2192-8649,1438-471X	1438-471X	2593456
2194-3680,1438-4752	1438-4752	1572540
1438-826X,1438-7506	1438-7506	27714757
1615-3146,1439-0590	1439-0590	15755727
1439-6637,1439-3972	1439-3972	24883230
2194-363X,1439-4367	1439-4367	15724321
1868-0054,1439-9598	1439-9598	1723578
1442-2026,1441-0737	1442-2026	27714922
2199-4625,1442-018X	1442-018X	15750210
2204-7662,1442-1100	1442-1100	15758414
2203-1871,1443-4318	1443-4318	15766863
1839-5252,1443-9646	1443-9646	15750887
2201-6716,1444-5921	1444-5921	15750382
2200-775X,1445-2294	1445-2294	15758118
1839-3551,1446-1242	1446-1242	15765814
1839-5260,1447-6770	1447-6770	15760421
2203-5184,1447-8420	1447-8420	15764708
2204-0226,1447-9338	1447-9338	15762689
2204-2253,1448-4846	1448-4846	15751101
2159-5356,1448-6563	1448-6563	15752535
2204-2245,1448-8353	1448-8353	15764690
1838-3742,1449-387X	1449-387X	15746355
1839-3373,1449-4035	1449-4035	15761838
1836-5655,1449-8596	1449-8596	15746443
1750-3140,1450-3132	1750-3140	15750985
2406-0925,1450-5584	1450-5584	15759133
2217-7140,1450-9156	1450-9156	15761855
2406-3045,1450-9628	1450-9628	15762180
2217-7183,1451-4869	1451-4869	15759046
2217-7434,1451-9372	1451-9372	22911476
2406-100X,1452-8630	1452-8630	15727050
1460-2172,1462-0324	1462-0324	7320492
1467-1123,1460-4728	1460-4728	15758260
1741-525X,1460-6720	1460-6720	15763255
1469-946X,1460-8464	1460-8464	15752508
1469-963X,1461-3190	1461-3190	15763453
1469-9893,1461-3808	1461-3808	15761828
1470-1073,1461-6661	1461-6661	15762881
1470-1065,1461-667X	1461-667X	15763126
1469-2988,1461-6734	1461-6734	15752082
2380-4084,1462-0316	1462-0316	15759483
2167-9428,1462-169X	1462-169X	27722616
2049-8543,1462-3730	1462-3730	15766033
1471-5004,1462-4605	1462-4605	15754291
2052-2215,1462-4753	1462-4753	4970190
1471-1796,1462-8848	1462-8848	27719162
2056-3450,1462-9712	1462-9712	7727851
2164-9545,1463-5240	1463-5240	15761426
1470-6725,1463-631X	1470-6725	15752929
2042-8340,1463-6646	1463-6646	15749840
1741-3567,1464-4258	1464-4258	6295685
1742-8149,1464-7273	1464-7273	5937141
2210-5018,1464-8172	1464-8172	15757200
1469-9516,1464-9888	1464-9888	15751028
2031-0250,1465-3737	1465-3737	15816222
2042-7166,1465-3753	1465-3753	15750318
1468-2516,1465-6493	1465-6493	4046703
2043-6882,1465-7503	1465-7503	15761491
2047-8968,1465-8712	1465-8712	6510104
2047-895X,1465-8720	1465-8720	6817414
2040-8153,1466-2035	1466-2035	15759129
2056-3930,1467-1069	1467-1069	15750654
1740-214X,1467-3657	1467-3657	15757448
2041-4943,1467-7873	1467-7873	15750740
2164-7402,1468-0629	1468-0629	15758308
2040-0616,1468-2761	1468-2761	15767513
2168-1414,1468-8417	1468-8417	15762732
1469-1957,2153-3369	1469-1957	15760860
1751-665X,1470-2541	1751-665X	15757623
2051-4700,1470-5001	1470-5001	15754739
2056-4074,1470-8078	1470-8078	15764060
2041-4803,1470-9236	1470-9236	7269299
1475-1534,1471-4418	1471-4418	26842306
1941-8361,1471-4787	1471-4787	15767350
1471-5740,1471-5732	1471-5732	15767300
1740-7877,1471-6313	1471-6313	15761482
2167-4027,1472-3808	1472-3808	15764411
1744-8107,1472-9288	1472-9288	27720786
2051-6231,1473-2971	1473-2971	15752316
1477-4062,1473-9550	1473-9550	26842077
2040-0551,1474-2748	1474-2748	15766188
1474-7766,1474-7758	1474-7758	26842253
1474-9728,1474-9718	1474-9718	2221073
1475-3626,1475-3634	1475-3634	15763082
1475-3696,1475-3685	1475-3685	15761898
1475-7516,1475-7508	1475-7516	1520843
1758-9509,1476-413X	1476-413X	7232653
2056-3264,1476-4253	1476-4253	15761153
1476-9689,1476-9670	1476-9670	1985381
1755-1196,1477-1756	1477-1756	7784475
1758-101X,1477-7509	1477-7509	18206027
1996-7829,1477-8920	1477-8920	15758145
1741-8143,1477-9064	1477-9064	15749710
2040-056X,1477-9633	1477-9633	15761603
1479-7194,1477-9714	1477-9714	15751489
2048-3988,1478-0771	1478-0771	15759065
1478-5730,1478-5722	1478-5722	15758104
1478-5730,1478-5722	1478-5722	15758104
1478-6433,1478-6435	1478-6435	1973202
2047-1734,1478-8047	1478-8047	15752209
1479-0513,1479-0505	1479-0505	15759539
1479-2516,1479-2508	1479-2508	15762881
2044-8414,1479-4098	1479-4098	15751877
2040-0934,1479-4713	1479-4713	15750181
2052-2835,1479-5248	1479-5248	5526838
1744-8301,1479-6694	1479-6694	2781597
1479-6988,1479-697X	1479-697X	15751614
1740-1666,1479-7585	1479-7585	15765327
1555-2467,1479-9855	1479-9855	15764713
2292-1168,1480-2422	1480-2422	3186930
1923-8231,1481-5869	1481-5869	3108991
1708-0401,1481-5974	1481-5974	27722620
2292-9592,1486-3847	1486-3847	15767453
2160-0651,1488-8386	1488-8386	15753180
1942-4051,1492-6156	1492-6156	15749134
1542-4758,1492-7535	1492-7535	15757113
2151-2221,1492-7713	1492-7713	15760428
1913-2220,1494-2119	1494-2119	15749716
1913-5416,1496-9343	1496-9343	15758315
1499-6685,1499-6677	1499-6677	15750504
1504-2871,1501-0074	1501-0074	19385628
1891-5396,1502-4873	1502-4873	21385435
1504-7989,1504-8004	1504-8004	12004728
1505-1773,2300-2557	1505-1773	15762365
2450-1395,1505-2249	1505-2249	27725873
2451-1951,1505-6872	1505-6872	11802179
1898-7761,1506-9427	1506-9427	15763105
2451-4306,1507-7888	1507-7888	29317034
2083-828X,1509-2046	1509-2046	15751533
2084-0365,1509-9407	1509-9407	15762281
2084-0381,1509-9423	1509-9423	15749939
2180-4265,1511-6433	1511-6433	15754585
1512-2891,2193-8407	1512-2891	15428801
1516-0351,1807-8389	1516-0351	50814382
1980-5373,1516-1439	1516-1439	15755139
1809-4414,1516-1498	1516-1498	15750547
2358-3428,1516-4039	1516-4039	15762255
2238-7714,1516-5981	2238-7714	50816299
2238-8885,1517-2856	2238-8885	50816296
1806-8774,1517-3011	1517-3011	15755876
2237-1753,1517-3275	2237-1753	50816334
1983-4063,1517-6398	1983-4063	50815030
2317-6377,1517-7599	1517-7599	50517067
2176-9192,1518-1243	1518-1243	15749445
1984-784X,1518-7284	1984-784X	50814983
1982-4017,1518-7632	1982-4017	50814937
2316-9079,1519-1397	1519-1397	21385448
2357-9323,1519-2563	1519-2563	27717244
1678-8052,1519-566X	1519-566X	15765631
2238-4103,1519-6097	1519-6097	21385458
2177-6229,1519-7050	1519-7050	50516964
2316-8838,1519-7778	2316-8838	50816838
2316-7874,1519-8928	2316-7874	50816840
2374-1368,1520-4154	1520-4154	7743636
1520-4383,1520-4391	1520-4391	26842068
1520-6424,8756-6621	8756-6621	15760436
1520-6432,8756-663X	8756-663X	15760436
1532-7760,1520-8834	1520-8834	6294831
1557-8593,1520-9156	1520-9156	26853929
2042-6992,1521-0227	1521-0227	15756521
1573-3459,1521-1401	1521-1401	15745340
1532-7000,1521-3250	1521-3250	15757562
1558-0822,1521-334X	1521-334X	15766125
1521-5741,1531-0043	1531-0043	26841890
1573-6636,1522-3434	1522-3434	15753784
1522-4732,1522-4724	1522-4724	26842506
2052-8388,1522-7340	1522-7340	5399410
1534-312X,1522-8037	1522-8037	26842032
2333-6897,1522-8053	1522-8053	15760495
1522-9017,1522-8851	1522-8851	15816564
1545-0465,1523-0406	1545-0465	15761205
1534-6307,1523-3774	1523-3774	23930052
1534-3170,1523-3782	1523-3782	26842345
1534-6269,1523-3790	1523-3790	2264969
1534-6242,1523-3804	1523-3804	20821076
1535-1645,1523-3812	1523-3812	25245507
1534-3146,1523-3847	1523-3847	26842136
1545-4274,1523-9829	1523-9829	4769667
1524-5861,2194-5659	1524-5861	15749671
1745-4506,1524-8275	1524-8275	15767300
1558-0016,1524-9050	1524-9050	15746428
1528-6499,1525-6480	1525-6480	15765456
2155-1316,1526-3894	1526-3894	15758913
2163-4548,1526-7555	1526-7555	15754374
1534-6277,1527-2729	1527-2729	3510796
1943-7587,1527-6562	1527-6562	29043865
1545-293X,1527-8204	1527-8204	567360
2331-4125,1527-8565	1527-8565	15749728
1534-6293,1528-4042	1528-4042	18206211
1938-5412,1528-7092	1528-7092	21385463
2049-7636,1528-8870	1528-8870	15755030
1539-4409,1530-1567	1530-1567	15764361
1558-2574,1530-4388	1530-4388	5327634
1533-2500,1530-7085	1530-7085	2183039
1744-1617,1531-2445	1531-2445	15754307
1531-3239,1531-3220	1531-3239	15756063
1532-0065,1531-5010	1531-5010	26841851
1532-6268,1531-6912	1531-6912	26842410
1532-2440,1553-3174	1553-3174	15752036
1946-1607,1532-4400	1532-4400	7603466
1532-8031,1534-844X	1534-844X	15746147
1532-8415,1534-8423	1534-8423	15756801
1938-0674,1533-0028	1533-0028	332277
2470-9565,1533-2276	1533-2276	15763967
1533-2896,1533-2888	1533-2888	15755737
1533-2950,1533-2942	1533-2942	15757671
2157-0752,1533-7472	1533-7472	15761643
1537-5781,1533-8916	1533-8916	26842275
1539-0829,1534-4827	1534-4827	26841965
2157-9547,1534-665X	1534-665X	15761770
1534-7591,2164-8034	2164-8034	6030640
1534-9721,1534-9713	1534-9713	15765517
2157-9393,1535-0754	1535-0754	15749255
1536-0067,1535-2188	1535-2188	26853968
2375-2122,1535-5314	1535-5314	15754656
2470-1246,1535-6760	1535-6760	26839426
2162-4585,1536-1098	1536-1098	15766151
1536-2930,1536-2922	1536-2922	29043654
2328-2525,1536-6006	1536-6006	15757297
1939-3466,1537-1727	1537-1727	5531693
1537-3061,1537-3053	1537-3053	15763683
1540-594X,1537-4726	1537-4726	15758094
1537-8918,1537-890X	1537-890X	27020384
1557-8119,1538-344X	1538-344X	27721077
1538-5396,1538-5698	1538-5396	15765517
1543-7787,1539-3402	1543-7787	29043990
1552-5228,1539-6827	1539-6827	1127324
1539-8323,2194-5780	1539-8323	15762071
1540-143X,1540-1421	1540-1421	26853795
1540-2010,1540-2002	1540-2002	15749937
1557-8518,1540-4196	1540-4196	26842408
1541-8286,1540-6962	1540-6962	29043896
2169-2408,1540-7969	1540-7969	15761175
1540-8884,2194-6183	1540-8884	29043873
1540-9619,8756-4610	8756-4610	15761682
1541-0870,1541-0889	1541-0889	15760165
1934-807X,1541-308X	1541-308X	14096705
1542-0485,2194-5896	1542-0485	15763936
1563-5287,1542-1406	1542-1406	15754505
2327-9761,1542-2305	1542-2305	15763707
2167-776X,1542-3050	1542-3050	15753706
1542-4057,1542-4049	1542-4049	15708720
1542-6580,2194-5748	1542-6580	15756755
1542-7536,1542-7528	1542-7536	15756938
2378-8631,1542-8710	1542-8710	15750038
1543-8619,1543-8600	1543-8600	26842509
2157-894X,1544-0389	1544-0389	15763224
1544-2241,1544-1873	1544-1873	26841869
1943-4421,1544-2721	1544-2721	15767403
2378-9174,1544-8037	1544-8037	15766940
1545-5351,1545-5343	1545-5343	26853781
1545-8636,1546-0738	1546-0738	1763668
2378-9670,1546-2609	1546-2609	15767611
1546-5616,2194-5985	1546-5616	15751607
1546-9549,1546-9530	1546-9530	26842297
2048-7827,1547-402X	1547-402X	15757428
1547-5786,1547-5778	1547-5778	15754626
1556-8601,1548-0755	1548-0755	15760308
1548-1107,1548-1093	1548-1093	15751850
2163-7873,1548-159X	1548-159X	13359388
1548-1697,1548-1689	1548-1689	15759487
1548-3576,1548-3568	1548-3568	26842190
1548-3592,1548-3584	1548-3584	26842131
1557-380X,1548-5129	1548-5129	15710300
1935-9683,1548-6583	1548-6583	15753432
1548-7776,1548-7768	1548-7768	15760535
1548-8756,1548-8748	1548-8748	26842316
1552-499X,1548-8969	1548-8969	26842050
2374-2593,1549-3199	1549-3199	6023216
2169-5202,1550-0594	1550-0594	15750908
2156-8154,1550-5170	1550-5170	15762692
1550-7904,1550-7890	1550-7890	15755497
1558-9323,1551-319X	1551-319X	2061144
1551-3823,1551-3815	1551-3815	15754018
1552-4892,1552-4884	1552-4884	24056056
1552-5775,1552-5767	1552-5767	26853956
1553-3514,1553-3506	1553-3506	7646205
1553-3832,2194-6167	1553-3832	15764302
1553-3840,2194-6329	1553-3840	15766851
1553-4014,1553-4006	1553-4006	15263665
2333-696X,1553-6548	1553-6548	15754388
2378-8585,1553-9563	1553-9563	15752877
1554-4419,2194-6558	1554-4419	15760443
1554-4567,2194-5691	1554-4567	15754187
2378-8615,1555-2411	1555-2411	15752542
2378-8526,1555-4015	1555-4015	15765262
1555-5860,1741-9166	1741-9166	39049740
1555-5879,2194-6000	1555-5879	15751886
1555-614X,1811-2382	1811-2382	15760683
2378-864X,1555-6336	1555-6336	15767163
1939-0629,1555-6824	1555-6824	6051542
1556-2956,1556-2948	1556-2948	15762924
1556-3758,2194-5764	1556-3758	15759160
1556-3804,1556-3790	1556-3790	26842259
1556-6579,1556-6560	1556-6560	15757214
1556-7362,1556-7400	1556-7400	15758430
1556-8342,1556-8253	1556-8253	15749311
1557-0665,1743-1867	1743-1867	15753598
1557-1467,1557-1459	1557-1459	15758130
1557-1963,1557-1955	1557-1955	3636947
1557-4679,2194-573X	1557-4679	15757209
1944-7485,1557-5330	1557-5330	15755904
2157-9512,1558-0121	1558-0121	15757143
1558-5468,1558-6073	1558-6073	6980951
1558-7460,1558-7452	1558-7452	6839235
1938-0682,1558-7673	1558-7673	332266
1558-822X,1558-8211	1558-8211	26842233
1558-9455,1558-9447	1558-9447	24031393
1558-9544,2194-6191	1558-9544	15746633
1559-0410,2194-6388	1559-0410	15745338
2157-5452,1559-3940	1559-3940	15757686
2168-8427,1559-3967	1559-3967	6296008
1559-6095,1940-3402	1940-3402	26842653
2051-6193,1559-6893	1559-6893	15761595
1559-7113,1559-7105	1559-7105	15761849
1559-8284,1559-8276	1559-8276	4744252
1878-9129,1560-2745	1560-2745	15765496
1560-7267,1560-7259	1560-7259	21385483
1814-9596,1560-8530	1560-8530	2504318
2413-371X,1561-3410	1561-3410	15764718
2199-3211,1562-2479	1562-2479	13733214
2331-2327,1562-3599	1562-3599	15754961
2410-7182,1563-0102	1563-0102	15816520
2191-0294,1565-1339	1565-1339	15765308
1571-8077,1567-7125	1567-7125	15754185
1573-2940,1567-7230	1567-7230	15757013
1876-6250,1568-5888	1568-5888	26842349
1569-111X,1569-1101	1569-1101	27721724
1744-4225,1569-3430	1569-3430	15817502
1573-0743,1569-5794	1569-5794	2211095
1569-7312,1872-5163	1872-5163	28449493
1572-8137,1569-8025	1569-8025	2499748
1570-1468,1570-145X	1570-145X	15754977
1570-6478,1570-646X	1570-646X	23933855
1572-0276,1572-0268	1572-0268	15752063
2468-9068,1572-1701	1572-1701	2258877
1573-692X,1572-3097	1572-3097	15764135
1573-4943,1572-3887	1572-3887	15760422
1573-384X,1609-8498	1609-8498	4041570
1875-8592,1574-0153	1574-0153	2051879
1988-3242,1575-6866	1575-6866	15746603
1695-4300,1576-6357	1576-6357	15767015
1989-4147,1576-9402	1576-9402	15755768
1989-6131,1578-7044	1578-7044	15754271
1578-8946,2014-4539	1578-8946	50518116
2341-1147,1578-9853	1578-9853	15762909
1579-0185,2385-4626	1579-0185	2753304
1854-5165,1580-3139	1580-3139	29919534
1854-9829,1581-4661	1854-9829	50814749
2067-4635,1583-1523	1583-1523	15765935
2559-6004,1583-4387	1583-4387	15816449
2066-9208,1583-5022	1583-5022	15260676
1844-8801,1583-5812	1583-5812	15816450
1583-980X,2286-0134	2286-0134	50816591
1588-4309,1585-079X	1585-079X	15751493
1589-021X,1588-9734	1588-9734	15762763
1589-021X,1588-9734	1588-9734	15762763
1869-2044,1590-4261	1590-4261	15762940
1590-9999,1590-9921	1590-9921	26842806
2385-2011,1591-0199	1591-0199	19823256
1596-9827,1596-5996	1596-5996	15753291
2377-0058,1598-0634	1598-0634	6051612
2093-6311,1598-2351	1598-2351	15751845
2092-6685,1598-2629	1598-2629	26841916
2092-7673,1598-5032	1598-5032	15751274
2508-5344,1598-6381	1598-6381	15758722
2234-7305,1598-642X	1598-642X	15757130
2005-4092,1598-6446	1598-6446	2552342
2234-6473,1598-7248	1598-7248	15816584
2451-909X,1598-7647	1598-7647	15817448
2234-0742,1598-866X	1598-866X	26842864
2233-6869,1598-9992	1598-9992	26842175
1869-7577,1600-1974	1600-1974	15765696
2159-9149,1600-910X	1600-910X	12308697
2309-5067,1606-822X	1606-822X	15765842
2221-1268,1607-0658	1607-0658	27722483
1607-2960,2538-6247	1607-2960	15753391
2224-9079,1607-324X	1607-324X	27722424
2541-8807,1607-4181	1607-4181	50520753
2164-2257,1608-1625	1608-1625	15750561
2078-6786,1608-9685	1608-9685	15760694
2199-4757,1609-0985	1609-0985	15817694
1609-9117,1682-3419	1609-9117	27722761
1612-1031,1610-2932	1610-2932	15763727
2194-4164,1610-7608	1610-7608	15075294
2029-4433,1611-1699	1611-1699	15765857
1611-8189,1611-8170	1611-8170	15760176
2191-5784,1612-1651	1612-1651	15755042
2190-6300,1612-5010	1612-5010	15753714
1613-4133,1613-4125	1613-4125	15751861
1614-0575,1613-6071	1613-6071	26853988
1876-0104,1613-7272	1613-7272	15754038
2380-5919,1613-8171	1613-8171	1322018
1613-9380,1613-9372	1613-9372	26842235
1613-9860,1869-6716	1869-6716	26853850
1614-4961,2367-3648	1614-4961	2691360
2366-200X,1615-8032	1615-8032	186789
2191-4672,1616-0177	1616-0177	15751034
2196-7970,1616-1203	1616-1203	1717214
2169-5601,1616-1262	1616-1262	21233170
2192-8622,1616-1963	1616-1963	2518148
2196-6427,1616-2455	1616-2455	15761924
2190-6297,1616-3443	1616-3443	15765178
2192-8320,1616-7902	1616-7902	18630440
1616-8666,1616-8658	1616-8658	50520730
1618-7229,2197-4586	1618-7229	15751685
1618-7512,1618-7504	1618-7504	15754622
2102-5150,1620-5340	1620-5340	47010179
2271-2852,1623-6742	1623-6742	47010116
2118-2760,1625-7480	1625-7480	3237949
1769-7379,1626-0600	1769-7379	3307354
2261-2599,1626-1682	2261-2599	3422007
2259-4566,1626-5378	1626-5378	47009255
1627-3591,1627-3583	1627-3583	27968332
1958-9190,1634-2941	1634-2941	15304703
1776-2871,1634-3298	1634-3298	47009858
1955-2351,1639-8319	1639-8319	3359861
2300-8695,1641-4233	2300-8695	50816624
2300-0384,1641-5558	2300-0384	50816649
2451-0696,1641-9227	1641-9227	15760213
2081-3252,1641-9251	1641-9251	11713414
1731-2515,1642-5758	1642-5758	26842069
2300-7575,1642-5952	2300-7575	6549771
2391-6850,1644-3365	1644-3365	9335200
2083-3113,1644-3586	1644-3586	17619381
2183-8615,1645-2259	1645-2259	15758990
2029-2872,1648-2603	1648-2603	7257499
2029-7203,1648-2824	1648-2824	15762687
2335-8971,1648-5831	1648-5831	15754538
1822-4199,1648-6897	1648-6897	15752646
1648-9179,1648-715X	1648-715X	15761662
1822-4180,1648-7788	1648-7788	15750530
2335-870X,1648-8024	2335-870X	50816961
2376-2977,1652-2354	1652-2354	6295513
2256-5760,1657-0790	1657-0790	50520851
2346-2116,1657-1959	1657-1959	50520850
2462-8107,1657-4206	1657-4206	50520841
2462-859X,1657-4702	1657-4702	50520836
2011-2777,1657-9267	1657-9267	7894419
1661-3805,1661-3791	1661-3791	15764648
1664-2929,1661-4747	1661-4747	15760707
1661-7657,1661-7649	1661-7649	26842291
2273-1598,1661-8009	1661-8009	47009240
1661-8777,1661-8769	1661-8769	26842514
1662-6672,1662-6664	1662-6664	26842094
1869-4136,1663-7976	1663-7976	26842487
1664-221X,1664-2201	1664-2201	27725079
1664-2384,1664-2376	1664-2376	21385627
1664-5502,1664-3828	1664-3828	26842240
1664-5545,1664-9737	1664-9737	26842342
1664-5553,2235-1795	2235-1795	26842090
1851-3727,1666-4124	1851-3727	15760930
2362-5589,1666-938X	1666-938X	27722218
2298-786X,1670-567X	1670-567X	1975106
1749-124X,1671-2234	1671-2234	15764541
1993-5021,1672-5182	1993-5021	15764461
2365-9459,1672-6421	1672-6421	50521421
2543-2141,1672-6529	1672-6529	15817710
2042-0226,1672-7681	1672-7681	26842256
1993-0658,1672-7975	1672-7975	15757845
1995-820X,1674-0769	1674-0769	26841812
1759-4685,1674-2788	1674-2788	2456339
2049-3169,1674-2818	1674-2818	15724662
2396-9814,1674-5507	1674-5507	15749150
1869-1927,1674-7348	1674-7348	1827291
1674-7992,1674-7984	1674-7984	24944621
2190-7439,1674-9251	1674-9251	18388368
2180-4311,1675-3410	1675-3410	15759243
2550-2131,1675-8021	1675-8021	15817101
2289-4535,1675-8161	1675-8161	50521742
2236-1057,1676-7497	1676-7497	27721218
2175-4977,1677-907X	2175-4977	50815765
2177-7160,1678-0531	1678-0531	15816876
2178-6011,1678-2046	2178-6011	27724870
1678-7714,1678-7544	1678-7544	15764247
1984-4506,1679-3498	1984-4506	50814993
2317-6385,1679-4508	1679-4508	26854017
1679-8759,1982-436X	1679-8759	15750373
1680-0745,1995-1892	1995-1892	26830987
2071-1409,1680-8584	1680-8584	15750591
1726-9822,1682-3451	1682-3451	15757117
1682-4016,1682-8631	1682-8631	26853981
2520-5293,1682-5055	1682-5055	15766386
2168-4227,1683-478X	1683-478X	15751285
1687-3963,1687-3955	1687-3955	15755422
1687-4129,1687-4110	1687-4110	24039970
1687-4196,1687-4188	1687-4188	26842137
1687-5303,1687-5214	1687-5214	26842719
1687-5605,1687-5591	1687-5591	15767638
1687-5648,1687-563X	1687-563X	15758265
1687-5710,1687-5702	1687-5710	50770761
1687-6113,1687-6105	1687-6105	26842081
1687-630X,1687-6121	1687-6121	26853898
1687-6237,1687-6229	1687-6229	15753733
1687-6377,1687-6369	1687-6369	15756218
1687-6970,1687-6962	1687-6962	26853845
1687-7071,1687-7063	1687-7063	26842067
1687-7098,1687-708X	1687-708X	26842016
1687-8019,1687-8000	1687-8000	26842449
1687-8124,1687-8108	1687-8108	1881634
1687-8205,1687-8191	1687-8191	26853888
1687-8345,1687-8337	1687-8337	26842119
1687-8442,1687-8434	1687-8434	15756324
1687-8469,1687-8450	1687-8450	26853876
1687-8647,1687-8639	1687-8639	26842424
1687-8736,1687-8728	1687-8728	26842127
1687-8779,1687-8760	1687-8760	22911489
1687-8795,1687-8787	1687-8787	26842636
1687-8884,1687-8876	1687-8876	26842205
1687-9112,1687-9104	1687-9104	26842580
1687-9198,1687-918X	1687-918X	26841927
1687-921X,1687-9201	1687-9201	26842673
1687-9279,1687-9260	1687-9260	26853833
1687-9570,1687-9562	1687-9562	50521781
1687-9597,1687-9589	1687-9589	26842470
1687-9635,1687-9627	1687-9627	26853852
1687-9678,1687-966X	1687-966X	26842114
1687-9694,1687-9686	1687-9686	26842862
1687-9759,1687-9740	1687-9740	26842028
1687-9775,1687-9767	1687-9767	26842481
1687-9791,1687-9783	1687-9783	24039111
2393-6606,1688-8375	1688-8375	50534250
2450-7059,1689-5150	1689-5150	50534337
2255-7547,1691-6301	2255-7547	50816447
2145-4507,1692-7273	1692-7273	50534304
2389-8801,1692-8415	1692-8415	50534297
2322-956X,1692-8563	1692-8563	50534295
2407-2524,1693-5853	1693-5853	50534263
1694-0784,1694-0814	1694-0814	27209141
2171-9292,1695-971X	1695-971X	1873625
1697-7920,1697-7912	1697-7912	50534396
1920-3136,1705-8546	1705-8546	15762814
1913-701X,1715-1635	1715-1635	26853782
2035-603X,1720-3929	1720-3929	15746658
2051-5545,1723-8617	1723-8617	8036083
2224-3380,1726-541X	1726-541X	29043701
1726-9148,1726-913X	1726-913X	26842330
1727-5229,1727-5210	1727-5210	21385691
1728-5303,1728-4414	1728-4414	15761830
1813-4424,1729-0376	1729-0376	26853923
1897-3191,1730-413X	1730-413X	15753050
1898-0198,1730-4237	1898-0198	50814813
2300-6099,1732-0801	1732-0801	50534528
2083-3636,1732-1352	1732-1352	15764211
2083-3628,1732-1360	2083-3628	50815355
1899-1955,1732-3991	1899-1955	50814810
2300-5920,1732-8160	1732-8160	15756997
2082-8926,1732-9442	2082-8926	50815358
2391-761X,1733-0092	1733-0092	16539286
2544-4646,1733-1331	1733-1331	15763183
2353-1843,1733-7178	1733-7178	18619979
2300-7621,1734-9923	1734-9923	50534509
2383-3874,1735-0522	1735-0522	15716411
2008-2711,1735-1065	1735-1065	26842182
1735-3408,1735-143X	1735-143X	15734417
2383-2886,1735-403X	2383-2886	50817307
1735-6954,1735-4374	1735-4374	6067352
2008-2304,1735-6865	1735-6865	15756875
1735-9287,1735-8639	1735-8639	26842699
1735-9244,2423-7167	1735-9244	5700613
2092-7258,1738-1061	1738-1061	26853872
2093-4327,1738-1088	1738-1088	26842559
1975-5937,1738-1339	1975-5937	27722163
