title	publisher	1	2
IRE Transactions on Circuit Theory	Institute of Electrical and Electronics Engineers	0096-2007	
IRE Transactions on Nuclear Science	Institute of Electrical and Electronics Engineers	0096-2015	
IEEE Transactions on Space Electronics and Telemetry	Institute of Electrical and Electronics Engineers	0096-2414	
IRE Transactions on Component Parts	Institute of Electrical and Electronics Engineers	0096-2422	
IRE Transactions on Electron Devices	Institute of Electrical and Electronics Engineers	0096-2430	
IRE Transactions on Military Electronics	Institute of Electrical and Electronics Engineers	0096-2511	
IRE Transactions on Space Electronics and Telemetry	Institute of Electrical and Electronics Engineers	0096-252X	
Fieldiana Geology	BioOne (Field Museum of Natural History)	0096-2651	
Contributions of the Meteoritical Society	Wiley (Blackwell Publishing)	0096-2805	
Contributions of the Society for Research on Meteorites	Wiley (Blackwell Publishing)	0096-2813	
Transactions of the American Electrochemical Society	The Electrochemical Society	0096-4786	
Textile Research	SAGE Publications	0096-5928	
Scientific Papers of the Bureau of Standards	National Institute of Standards and Technology	0096-6231	
Transactions of the Society of Motion Picture Engineers	Society of Motion Picture and Television Engineers	0096-6460	
Air Repair	Informa UK (Taylor & Francis)	0096-6665	
Weeds	JSTOR	0096-719X	
AIBS Bulletin	Oxford University Press	0096-7645	
Bulletin of the United States Institute for Textile Research Inc	SAGE Publications	0096-7882	
Bulletin of the Bureau of Standards	National Institute of Standards and Technology	0096-8579	
Bulletin (Society for Applied Spectroscopy)	SAGE Publications	0096-8706	
General Science Quarterly	Wiley (John Wiley & Sons)	0097-0352	
International Journal of Orthodontia and Dentistry for Children	Elsevier	0097-0522	
Journal of Mathematics and Physics	Wiley (Blackwell Publishing)	0097-1421	
Soviet Radiophysics	Springer-Verlag	0097-1545	
The Journal of the National Dental Association	American Dental Association	0097-1901	
IRE Transactions on Microwave Theory and Techniques	Institute of Electrical and Electronics Engineers	0097-2002	
Transactions of the American Institute of Electrical Engineers Part II Applications and Industry	Institute of Electrical and Electronics Engineers	0097-2185	
Proceedings of the American Institute of Electrical Engineers	Institute of Electrical and Electronics Engineers	0097-2444	
Transactions of the American Institute of Electrical Engineers Part I Communication and Electronics	Institute of Electrical and Electronics Engineers	0097-2452	
Transactions of the American Institute of Electrical Engineers Part III Power Apparatus and Systems	Institute of Electrical and Electronics Engineers	0097-2460	
IEEE Transactions on Product Engineering and Production	Institute of Electrical and Electronics Engineers	0097-4544	
Journal of the Society of Motion Picture Engineers	Society of Motion Picture and Television Engineers	0097-5834	
IRE Transactions on Vehicular Communications	Institute of Electrical and Electronics Engineers	0097-6628	
Newsletter European Labor and Working Class History	Cambridge University Press	0097-8523	
Yearbook of Diagnostic Radiology	Elsevier	0098-1672	
Bulletin of the Wildlife Disease Association	Wildlife Disease Association	0098-373X	
The Review of Education	Informa UK (Taylor & Francis)	0098-5597	
Journal of Research of the National Bureau of Standards Section B Mathematical Sciences	National Institute of Standards and Technology	0098-8979	
Technological Forecasting	Elsevier	0099-3964	
IRE Transactions on Radio Frequency Interference	Institute of Electrical and Electronics Engineers	0099-4545	
IEEE Transactions on Industrial Electronics [May 1963]	Institute of Electrical and Electronics Engineers	0099-4553	
IRE Transactions on Broadcast Transmission Systems	Institute of Electrical and Electronics Engineers	0099-6866	
International Journal of Orthodontia Oral Surgery and Radiography	Elsevier	0099-6963	
Perspectivas Médicas	Perspectivas Medicas - Faculty of Medicine	0100-2929	
Boletim do Instituto Paulista de Oceanografia	SciELO	0100-4239	
Journal of the Brazilian Society of Mechanical Sciences	SciELO	0100-7386	
Pesquisa Agropecuária Pernambucana	Instituto Agronomico de Pernambuco	0100-8501	
Revista do Instituto Geológico	GN1 Genesis Network	0100-929X	
Cadernos de Linguística e Teoria da Literatura	Faculdade de Letras da UFMG	0101-3548	
Estudos Afro-Asiáticos	SciELO	0101-546X	
Revista Paraense de Medicina	Instituto Evandro Chagas	0101-5907	
Revista DAE	Editora Cubo Multimidia	0101-6040	
Revista Educação Agrícola Superior	Revista Educacao Agricola Superior - ABEAS	0101-756X	
Estudos Germânicos	Faculdade de Letras da UFMG	0101-837X	
Estudos de Biologia	Pontificia Universidade Catolica do Parana - PUCPR	0102-2067	
Revista Brasileira de Geofísica	Sociedade Brasileira de Geofisica	0102-261X	
CLIO – Arqueológica	Clio Arqueologica	0102-6003	
Revista Nerítica	Universidade Federal do Parana	0102-6224	
Revista Paulista de Educação Física	Universidade de Sao Paulo Sistema Integrado de Bibliotecas - SIBiUSP	0102-7549	
São Paulo em Perspectiva	SciELO	0102-8839	
Revista Brasileira de Ciência e Movimento	Revista Brasileira de Ciencia e Mobimento	0103-1716	
Sba Controle & Automação Sociedade Brasileira de Automatica	SciELO	0103-1759	
Agrotrópica (Itabuna)	Agrotropica	0103-3816	
Boletim de Pneumologia Sanitária	Instituto Evandro Chagas	0103-460X	
Revista Literária do Corpo Discente da Universidade Federal de Minas Gerais	Faculdade de Letras da UFMG	0103-5878	
Teoria e Pesquisa	Editora Cubo Multimidia	0104-0103	
MOARA – Revista Eletrônica do Programa de Pós-Graduação em Letras ISSN 0104-0944	Universidade Federal do Para	0104-0944	
Informe Epidemiológico do Sus	Instituto Evandro Chagas	0104-1673	
Scientia	Universidade do Vale do Rio Dos Sinos - UNISINOS	0104-1770	
Revista Brasileira de Cardiologia Invasiva	Elsevier	0104-1843	
Ensaios de Literatura e Filologia	Faculdade de Letras da UFMG	0104-2785	
Revista Enfermagem UERJ	Universidade do Estado do Rio de Janeiro UERJ	0104-3552	
Revista de Educação do Cogeime	Instituto Metodista de Servicos Educacionais	0104-4834	2358-9280
Acta Fisiátrica	GN1 Genesis Network	0104-7795	
REVISTA LATINO AMERICANA DE ARRITMIA E ESTIMULAÇÃO CARDÍACA	Revista Latino-Americana de Marcapasso e Arritmia	0104-8317	1983-5558
Acta Linguistica	Informa UK (Taylor & Francis)	0105-001X	
Cercle Linguistique de Copenhague	Informa UK (Taylor & Francis)	0105-0206	
Journal of Advanced Pharmaceutical Technology & Research	Medknow Publications	0110-5558	
Drug Investigation	Springer-Verlag	0114-2402	
Malay	PhilJOL	0115-6195	
DLSU Business & Economics Review	PhilJOL	0116-7111	
Graduate School Research Journal University of the East	PhilJOL	0117-9802	
Emilio Aguinaldo College Research Bulletin	PhilJOL	0119-1438	
IDEYA	PhilJOL	0119-6405	
Estudios de derecho	Universidad de Antioquia	0120-1867	
Revista Colombiana de Anestesiología	Elsevier	0120-3347	
BISTUA REVISTA DE LA FACULTAD DE CIENCIAS BASICAS	Universidad de Pamplona	0120-4211	
Revista SISTEMAS	Asociacion Colombiana Ingenieros de Sistemas	0120-5919	
Urología Colombiana	Elsevier	0120-789X	
Revista Colombiana de Ortopedia y Traumatología	Elsevier	0120-8845	
Itinerario educativo	Universidad de San Buenaventura	0121-2753	
Boletín Científico CCCP	Direccion General Maritima - DIMAR	0121-3423	
Verba luris	Universidad Libre	0121-3474	
Repertorio de Medicina y Cirugía	Elsevier	0121-7372	
Revista Colombiana de Reumatología	Elsevier	0121-8123	
Nodos y Nudos	Universidad Pedagogica Nacional	0122-4328	
Acta Colombiana de Cuidado Intensivo	Elsevier	0122-7262	
Cuadernos de Contabilidad	Editorial Pontificia Universidad Javeriana	0123-1472	
Estudios de Literatura Colombiana	Universidad de Antioquia	0123-4412	
Revista Ciencias Humanas	Universidad de San Buenaventura	0123-5826	
Revista Gestión y Desarrollo	Universidad de San Buenaventura	0123-5834	
Revista Historia de la Educación Colombiana	Rudecolombia	0123-7756	
Revista Colombiana de Cancerología	Elsevier	0123-9015	
Diálogos de saberes	Universidad Libre	0124-0021	
Justicia	Universidad Simon Bolivar	0124-7441	
Saga - Revista de Estudiantes de Filosofía	Universidad Nacional de Colombia	0124-8480	
Jurnal BIOMA	Universitas Negeri Jakarta	0126-3552	
Islamiyyat	Penerbit Universiti Kebangsaan Malaysia (UKM Press)	0126-5636	
Southeast Asian Review of English	Univ. of Malaya	0127-046X	
Jurnal Ekonomi Malaysia	Penerbit Universiti Kebangsaan Malaysia (UKM Press)	0127-1962	
Jurnal Pengurusan	Penerbit Universiti Kebangsaan Malaysia (UKM Press)	0127-2713	
Journal of Contemporary Islamic Law	Faculty of Islamic Studies, University Kebangsaan Malaysia	0127-788X	
MATEMATIKA	Penerbit UTM Press	0127-9602	0127-8274
Journal of Usuluddin	Univ. of Malaya	0128-0708	
PLANNING MALAYSIA JOURNAL	Malaysian Institute of Planners	0128-0945	1675-6215
Journal of industrial technology	SIRIM Industrial Research	0128-4940	
Proceedings of the Siberian Department of the Section of Earth Sciences Russian Academy of Natural Sciences Geology Prospecting and Exploration of Ore Deposits	Irkutsk National Research Technical University	0130-108X	
Construction of Oil and Gas Wells on Land and Sea	JSC VNIIOENG	0130-3872	
Иностранные языки в школе	Science and Education, Ltd.	0130-6073	
International Affairs	East View Information Services, Inc.	0130-9641	
Регионология	Science and Education, Ltd.	0131-5706	
Russian language at school	Our Language	0131-6141	
СЕЙСМИЧЕСКИЕ ПРИБОРЫ	The Schmidt Institute of Physics of the Earth of the Russian Academy of Sciences (IPE RAS)	0131-6230	
Automation Telemechanization and Communication in Oil Industry	JSC VNIIOENG	0132-2222	
Vezetéstudomány / Budapest Management Review	Corvinus University of Budapest	0133-0179	
Journal of Radioanalytical Chemistry	Springer-Verlag	0134-0719	
Trudy Instituta Matematiki i Mekhaniki UrO RAN	Krasovskii Institute of Mathematics and Mechanics UB RAS	0134-4889	
Perm Medical Journal	ECO-Vector	0136-1449	
Известия высших учебных заведений Электромеханика	South Russian State Polytechnic University (NPI)	0136-3360	
Moscow University Psychology Bulletin	Russian Psychological Society	0137-0936	0201-7385
Studia Germanica Posnaniensia	Adam Mickiewicz University Poznan	0137-2467	
PRZEMYSŁ FERMENTACYJNY I OWOCOWO-WARZYWNY	Wydawnictwo SIGMA-NOT, sp. z.o.o.	0137-2645	
CIEPŁOWNICTWO OGRZEWNICTWO WENTYLACJA	Wydawnictwo SIGMA-NOT, sp. z.o.o.	0137-3676	
Lublin Studies in Modern Languages and Literature	Wydawnictwo Uniwersytetu Marii Curie-SkÅodowskiej w Lublinie	0137-4699	
Materiały i Sprawozdania Rzeszowskiego Ośrodka Archeologicznego	University of Rzeszow	0137-5725	
Lubelski RocznikPedagogiczny	Wydawnictwo Uniwersytetu Marii Curie-SkÅodowskiej w Lublinie	0137-6136	
Occupational Safety – Science and Practice	Index Copernicus International	0137-7043	
Special School	Index Copernicus International	0137-818X	
PROBLEMY JAKOŚCI	Wydawnictwo SIGMA-NOT, sp. z.o.o.	0137-8651	
Studia Katechetyczne	Uniwersytet Kardynala Stefana Wyszynskiego	0138-0672	
Geology Geophysics & Environment	AGH University of Science and Technology Press	0138-0974	
The Conservator	Informa UK (Taylor & Francis)	0140-0096	
IEE Journal on Computers and Digital Techniques	Institution of Electrical Engineers	0140-1335	
Interlending Review	Emerald (MCB UP )	0140-2773	
Nuclear Future	Thomas Telford Ltd.	0140-4067	
European Journal of Science Education	Informa UK (Taylor & Francis)	0140-5284	
Bulletin of the Oxford University Institute of Economics & Statistics	Wiley (Blackwell Publishing)	0140-5543	
Molecular Crystals and Liquid Crystals Letters	Informa UK (Taylor & Francis)	0140-6566	
Advances in Engineering Software (1978)	Elsevier	0141-1195	
Journal of the Institute of Mental Subnormality (APEX)	Wiley (Blackwell Publishing)	0141-2205	
Police Studies Intnl Review of Police Development	Emerald (MCB UP )	0141-2949	
International Journal of Materials in Engineering Applications	Elsevier	0141-5530	
Journal of The British Contact Lens Association	Elsevier	0141-7037	
Computer Fraud & Security Bulletin	Elsevier	0142-0496	
Seventeenth-Century French Studies Newsletter	Informa UK (Taylor & Francis)	0142-5080	
International Journal of Solar Energy	Informa UK (Taylor & Francis)	0142-5919	
Minerals and the Environment	Springer-Verlag	0142-7245	
Journal of Plant Foods	Informa UK (Taylor & Francis)	0142-968X	
Studies in Church History Subsidia	Cambridge University Press	0143-0459	
Environmental Pollution Series B Chemical and Physical	Elsevier	0143-148X	
Environmental Technology Letters	Informa UK (Taylor & Francis)	0143-2060	
International Journal of Tourism Management	Elsevier	0143-2516	
Current Psychological Research	Springer-Verlag	0143-3887	
Journal of the Plainsong and Mediaeval Music Society	Cambridge University Press	0143-4918	
IEE Proceedings A Physical Science Measurement and Instrumentation Management and Education Reviews	Institution of Electrical Engineers	0143-702X	
IEE Proceedings B Electric Power Applications	Institution of Electrical Engineers	0143-7038	
IEE Proceedings C Generation Transmission and Distribution	Institution of Electrical Engineers	0143-7046	
IEE Proceedings D Control Theory and Applications	Institution of Electrical Engineers	0143-7054	
IEE Proceedings E Computers and Digital Techniques	Institution of Electrical Engineers	0143-7062	
IEE Proceedings F Communications Radar and Signal Processing	Institution of Electrical Engineers	0143-7070	
IEE Proceedings G (Electronic Circuits and Systems)	Institution of Electrical Engineers	0143-7089	
IEE Proceedings H Microwaves Optics and Antennas	Institution of Electrical Engineers	0143-7097	
IEE Proceedings I Solid State and Electron Devices	Institution of Electrical Engineers	0143-7100	
Oil and Petrochemical Pollution	Elsevier	0143-7127	
Current Psychological Reviews	Springer-Verlag	0144-3895	
Analytical Proceedings	The Royal Society of Chemistry	0144-557X	
Nuclear Track Detection	Elsevier	0145-224X	
The Journal of Abnormal Psychology	American Psychological Association	0145-2339	
The Journal of Abnormal Psychology and Social Psychology	American Psychological Association	0145-2347	
Bulletin of the American Schools of Oriental Research Supplementary Studies	JSTOR	0145-3661	
Yearbook of Cardiology	Elsevier	0145-4145	
Milton and the Romantics	Informa UK (Taylor & Francis)	0145-529X	
Journal of Solid-Phase Biochemistry	Springer-Verlag	0146-0641	
Bulletin of the American Institute for Conservation	Informa UK (Taylor & Francis)	0146-1257	
Progress in Crystal Growth and Characterization	Elsevier	0146-3535	
Wisconsin Studies in Contemporary Literature	JSTOR	0146-4949	
Radiation Physics and Chemistry (1977)	Elsevier	0146-5724	
Deep Sea Research	Elsevier	0146-6291	
